n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
4864,2,local,3.3,supported,0.6,0.6110144960406644,0.3302552394993829,733,15
4864,2,local,3.3,supported,0.65,0.6601311009926996,0.38015629511370036,863,17
4864,2,local,3.3,supported,0.7,0.703161321817002,0.43189721672207876,1036,18
4864,2,local,3.3,supported,0.75,0.7567018098217444,0.5064042254973108,1281,20
4864,2,local,3.3,supported,0.7999999999999999,0.8087175378995604,0.6017063740813733,1652,20
4864,2,local,3.3,supported,0.85,0.8523767198873714,0.6956110749611304,1916,23
4864,2,local,3.3,supported,0.9,0.9016783604779168,0.8326005918440413,2360,25
4864,2,local,3.3,supported,0.95,0.9515420583360746,1.028015025479788,3000,26
4864,2,local,3.3,supported,0.99,0.9908021622744991,1.345836891052501,4007,28
4864,2,local,3.3,paper,0.05,0.3840516275838129,0.14974781121581499,240,8
4864,2,local,3.3,paper,0.1,0.5026163817833007,0.24826913872548215,486,12
4864,2,local,3.3,paper,0.15,0.6091372796681559,0.359625584200943,726,17
4864,2,local,3.3,paper,0.2,0.6944655608151892,0.48447065516705334,972,23
4864,2,local,3.3,paper,0.25,0.7398118091648211,0.5645093516596356,1212,25
4864,2,local,3.3,paper,0.3,0.78319973054623,0.6647987975403237,1458,29
4864,2,local,3.3,paper,0.35,0.812337205414019,0.7371420654488583,1698,31
4864,2,local,3.3,paper,0.39999999999999997,0.8401210075638246,0.8271087796911795,1944,34
4864,2,local,3.3,paper,0.44999999999999996,0.8646750313854686,0.8988320087997272,2184,35
4864,2,local,3.3,paper,0.49999999999999994,0.8901980653155417,0.9735622506882043,2430,36
4864,2,local,3.3,paper,0.5499999999999999,0.9161853442874237,1.0550598163377873,2670,38
4864,2,local,3.3,paper,0.6,0.9320170714801557,1.13666133805543,2916,40
4864,2,local,3.3,paper,0.65,0.9465406419607323,1.2248875338361815,3162,43
4864,2,local,3.3,paper,0.7,0.9557296893076588,1.2956640432787845,3402,44
4864,2,local,3.3,paper,0.75,0.9646722503612827,1.3770576700199937,3648,45
4864,2,local,3.3,paper,0.7999999999999999,0.972072901431413,1.447236968063961,3888,44
4864,2,local,3.3,paper,0.85,0.9817838757446473,1.5224540390216987,4134,43
4864,2,local,3.3,paper,0.9,0.9859331563899705,1.5694237090273344,4374,39
4864,2,local,3.3,paper,0.95,0.9901966346106683,1.6407176943231074,4620,37
4864,2,hot-cold,3.3,supported,0.05,0.1037161798879163,0.024128853262837972,59,1
4864,2,hot-cold,3.3,supported,0.1,0.1037161798879163,0.024128853262837972,59,1
4864,2,hot-cold,3.3,supported,0.15,0.21318199198124213,0.06103204808077543,171,2
4864,2,hot-cold,3.3,supported,0.2,0.21318199198124213,0.06103204808077543,171,2
4864,2,hot-cold,3.3,supported,0.25,0.25453697670938835,0.07818809859714954,231,2
4864,2,hot-cold,3.3,supported,0.3,0.3318076001481806,0.11564672197083953,348,2
4864,2,hot-cold,3.3,supported,0.35,0.3617328180982339,0.1305277132101615,392,3
4864,2,hot-cold,3.3,supported,0.39999999999999997,0.4079777841758814,0.15573073466681747,469,3
4864,2,hot-cold,3.3,supported,0.44999999999999996,0.48304206874414873,0.2055059423059173,612,5
4864,2,hot-cold,3.3,supported,0.49999999999999994,0.5416071937801246,0.25234275087355,754,6
4864,2,hot-cold,3.3,supported,0.5499999999999999,0.5530176313753212,0.2617407878338422,783,6
4864,2,hot-cold,3.3,supported,0.6,0.6012616708980777,0.30256256592103753,905,7
4864,2,hot-cold,3.3,supported,0.65,0.6546116258129827,0.35621575709554626,1066,8
4864,2,hot-cold,3.3,supported,0.7,0.7018436718682506,0.40886970946355844,1236,8
4864,2,hot-cold,3.3,supported,0.75,0.781560175071964,0.531243796388825,1597,11
4864,2,hot-cold,3.3,supported,0.7999999999999999,0.8007634539416089,0.5659291235205508,1710,11
4864,2,hot-cold,3.3,supported,0.85,0.8502533171439612,0.675857393890092,2042,14
4864,2,hot-cold,3.3,supported,0.9,0.9058773718186369,0.8453346642428682,2546,18
4864,2,hot-cold,3.3,supported,0.95,0.9514887338085388,1.0433836956337754,3156,22
4864,2,hot-cold,3.3,supported,0.99,0.991998690180462,1.4401235454916645,4346,26
4864,2,hot-cold,3.3,paper,0.05,0.2625487224483036,0.10002157727637252,240,4
4864,2,hot-cold,3.3,paper,0.1,0.4138602606587269,0.17060039391683735,486,5
4864,2,hot-cold,3.3,paper,0.15,0.521686094357601,0.2629476910884159,726,8
4864,2,hot-cold,3.3,paper,0.2,0.6129593583005407,0.35087782505327714,972,11
4864,2,hot-cold,3.3,paper,0.25,0.679086963292048,0.4332838379585887,1212,13
4864,2,hot-cold,3.3,paper,0.3,0.7354851008294554,0.5276632405769078,1458,16
4864,2,hot-cold,3.3,paper,0.35,0.7833492313519467,0.5940517096392184,1698,16
4864,2,hot-cold,3.3,paper,0.39999999999999997,0.8254803858307159,0.6892822983932819,1944,18
4864,2,hot-cold,3.3,paper,0.44999999999999996,0.8557732834088487,0.7768676416390156,2184,21
4864,2,hot-cold,3.3,paper,0.49999999999999994,0.8802152337363596,0.8593539666034803,2430,22
4864,2,hot-cold,3.3,paper,0.5499999999999999,0.9034130171027909,0.9391103265833697,2670,22
