trial,target_cv,spatial_mode,budget_fraction,q,two_line_ms,gap_to_max_q_pct
0,1.44,hot-cold,0.625,16384,0.9887164592818287,2.220446049250313e-14
0,1.44,hot-cold,0.625,65536,0.9887164592818287,2.220446049250313e-14
0,1.44,hot-cold,0.625,131072,0.9887164592818287,2.220446049250313e-14
0,1.44,hot-cold,0.75,1024,1.1796504913801624,0.0
0,1.44,hot-cold,0.75,4096,1.1796504913801624,0.0
0,1.44,hot-cold,0.75,16384,1.1796504913801624,0.0
0,1.44,hot-cold,0.75,65536,1.1796504913801624,0.0
0,1.44,hot-cold,0.75,131072,1.1796504913801624,0.0
0,1.44,hot-cold,0.875,1024,1.3344606850131764,0.07318858258109628
0,1.44,hot-cold,0.875,4096,1.333484726442957,0.0
0,1.44,hot-cold,0.875,16384,1.333484726442957,0.0
0,1.44,hot-cold,0.875,65536,1.333484726442957,0.0
0,1.44,hot-cold,0.875,131072,1.333484726442957,0.0
0,2.48,random,0.125,1024,0.23547917894054865,0.0
0,2.48,random,0.125,4096,0.23547917894054865,0.0
0,2.48,random,0.125,16384,0.23547917894054865,0.0
0,2.48,random,0.125,65536,0.23547917894054865,0.0
0,2.48,random,0.125,131072,0.23547917894054865,0.0
0,2.48,random,0.25,1024,0.6129969871218932,33.75222047740118
0,2.48,random,0.25,4096,0.5064551851640704,10.505446211137603
0,2.48,random,0.25,16384,0.4583078956999188,2.220446049250313e-14
0,2.48,random,0.25,65536,0.4583078956999188,2.220446049250313e-14
0,2.48,random,0.25,131072,0.4583078956999188,2.220446049250313e-14
0,2.48,random,0.375,1024,0.6727401854193591,6.693405168698274
0,2.48,random,0.375,4096,0.6305358652258368,4.440892098500626e-14
0,2.48,random,0.375,16384,0.6305358652258368,4.440892098500626e-14
0,2.48,random,0.375,65536,0.6305358652258368,4.440892098500626e-14
0,2.48,random,0.375,131072,0.6305358652258368,4.440892098500626e-14
0,2.48,random,0.5,1024,0.8250888301457335,1.046135287178318
0,2.48,random,0.5,4096,0.8165466475296543,2.220446049250313e-14
0,2.48,random,0.5,16384,0.8165466475296543,2.220446049250313e-14
