trial,target_cv,spatial_mode,coverage_target,target_importance,cover_importance,cover_rows,cover_chunks,cover_aff_ms,cover_runtime_ms,cover_build_ms
1,2.48,random,0.1,0.1,0.10003764229611742,249,2,0.08292516775455834,11.363847,13782.043184
1,2.48,random,0.3,0.3,0.3001867320274801,1117,4,0.31730247286706326,8.400547,13782.043184
1,2.48,random,0.5,0.5,0.5000117890023773,2072,5,0.5619653799685341,10.657337,13782.043184
1,2.48,random,0.7,0.7,0.7001063053894888,3183,3,0.8117945043089794,15.041153,13782.043184
1,2.48,random,0.9,0.9,0.900153868227053,4270,2,1.0667523798972127,12.478522,13782.043184
1,2.48,random,0.95,0.95,0.950104691255494,4538,2,1.1323245492218164,16.228423,13782.043184
1,2.48,random,0.99,0.99,0.9900122014395576,4791,1,1.1832257486282607,9.776399,13782.043184
1,2.48,local,0.1,0.1,0.10040975667374864,51,1,0.023479171767733016,8.437125,15086.436435
1,2.48,local,0.3,0.3,0.3003440035600601,305,3,0.1076277008902877,14.487037,15086.436435
1,2.48,local,0.5,0.5,0.5000571923689163,679,8,0.2541395602872656,10.77721,15086.436435
1,2.48,local,0.7,0.7,0.7000524260798314,1598,10,0.5009951513533332,12.967456,15086.436435
1,2.48,local,0.9,0.9,0.900026745574285,3190,8,0.8685116392950262,17.220688,15086.436435
1,2.48,local,0.95,0.95,0.950009788003633,3674,8,0.9869330197170716,7.659681,15086.436435
1,2.48,local,0.99,0.99,0.9900427412499245,4568,2,1.1396647174297945,5.861439,15086.436435
1,2.48,hot-cold,0.1,0.1,0.10038003865523713,90,1,0.033021390438104446,10.70731,14708.672244
1,2.48,hot-cold,0.3,0.3,0.300412141974753,438,1,0.11816734165064952,15.12495,14708.672244
1,2.48,hot-cold,0.5,0.5,0.5003109236090959,894,1,0.2297378984119155,9.904508,14708.672244
1,2.48,hot-cold,0.7,0.7,0.7003972801536655,1583,1,0.3983170949218107,8.036576,14708.672244
1,2.48,hot-cold,0.9,0.9,0.900168502129843,2975,1,0.738900899771991,13.669609,14708.672244
1,2.48,hot-cold,0.95,0.95,0.9500069062565359,3655,1,0.9052780458194929,6.306522,14708.672244
1,2.48,hot-cold,0.99,0.99,0.9900233051247468,4530,1,1.119366285218852,5.477181,14708.672244
1,3.3,random,0.1,0.1,0.1000442533612113,137,3,0.06652275892561077,8.516975,14607.505618
1,3.3,random,0.3,0.3,0.3000060303563638,705,7,0.24950015358667618,14.778923,14607.505618
1,3.3,random,0.5,0.5,0.5002069257887843,1514,10,0.4804426803709947,9.234556,14607.505618
1,3.3,random,0.7,0.7,0.7000597604863459,2646,8,0.7354099224570246,8.284099,14607.505618
1,3.3,random,0.9,0.9,0.9001349820430266,4111,2,1.0278494883949292,16.910268,14607.505618
1,3.3,random,0.95,0.95,0.9500489211877209,4459,2,1.1129954396074744,9.770368,14607.505618
1,3.3,random,0.99,0.99,0.9900928348440657,4774,1,1.1790663199770732,5.870096,14607.505618
1,3.3,local,0.1,0.1,0.1005635990044181,38,1,0.02029843221094254,8.52553,15170.70682
1,3.3,local,0.3,0.3,0.300442306178253,150,4,0.08070438429657162,14.013201,15170.70682
1,3.3,local,0.5,0.5,0.5003360546130843,356,8,0.17511041591470222,15.143765,15170.70682
1,3.3,local,0.7,0.7,0.7000050017131959,1015,8,0.33634944421661944,17.989416,15170.70682
1,3.3,local,0.9,0.9,0.9000581995806224,2272,8,0.6439024921308987,15.355201,15170.70682
1,3.3,local,0.95,0.95,0.950012767236767,2865,11,0.8219958078177754,7.012962,15170.70682
1,3.3,local,0.99,0.99,0.9900059450533563,4103,5,1.0588947676486462,12.693043,15170.70682
1,3.3,hot-cold,0.1,0.1,0.10764450990058481,64,1,0.026659911324523493,9.047977,14181.830695
1,3.3,hot-cold,0.3,0.3,0.3000241949283869,317,1,0.08856199654513816,8.356775,14181.830695
1,3.3,hot-cold,0.5,0.5,0.5004680578667994,658,1,0.17199524184248838,8.739811,14181.830695
1,3.3,hot-cold,0.7,0.7,0.7003596484587344,1141,1,0.29017194999093454,8.436624,14181.830695
1,3.3,hot-cold,0.9,0.9,0.9001380087643137,2223,1,0.554907350025342,7.88333,14181.830695
1,3.3,hot-cold,0.95,0.95,0.9500428028816551,2834,2,0.7154029950086647,7.01714,14181.830695
1,3.3,hot-cold,0.99,0.99,0.9900322630260763,4058,1,1.0038809720799977,6.156521,14181.830695
1,4.55,random,0.1,0.1,0.10034592825798261,48,3,0.04474692657527596,8.828427,14912.322566
1,4.55,random,0.3,0.3,0.3001061338771687,482,9,0.2169400082023803,12.380218,14912.322566
1,4.55,random,0.5,0.5,0.5000488543024951,1279,12,0.44494646770350754,14.448705,14912.322566
1,4.55,random,0.7,0.7,0.70003214483317,2435,10,0.70578584435592,16.145778,14912.322566
