method,method_label,budget_index,budget_fraction,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,fallback_calls,cell_count,length_factor,projection_path_ms
c4_l2,C4 · 2s,1,0.15,9,12.600452211168077,0.0,11.195232974158394,1.346005505985684,0.14985015425129372,0,4.0,2.0,0.34217002119535334
c4_l2,C4 · 2s,2,0.2,9,13.133400599161783,0.008140008275707555,11.943197992112902,1.5862239731682672,0.19999060404664257,0,4.0,2.0,0.38938611117512495
c4_l2,C4 · 2s,3,0.25,9,11.629864056905111,0.002711640256974422,10.522581418355307,1.3718987107276917,0.25,0,4.0,2.0,0.42994797614000807
c4_l2,C4 · 2s,4,0.3,9,13.596308708190918,0.005494505580928578,12.375656233893501,1.6957915888892279,0.30000939595335735,0,4.0,2.0,0.47591391297470576
c4_l2,C4 · 2s,5,0.35,9,11.759987089369032,0.015132501721382134,10.596962610880533,1.5895054870181613,0.3501498457487061,0,4.0,2.0,0.5216000793037486
c4_l2,C4 · 2s,6,0.4,9,12.575429280598959,0.018493557141886798,11.151889218224419,1.5106712116135492,0.3998501542512938,0,4.0,2.0,0.5701379232057532
c4_l2,C4 · 2s,7,0.45,9,12.046510802374947,0.012968050729897278,11.04763306511773,1.6688849263721042,0.4499906040466426,0,4.0,2.0,0.6048433067277642
c4_l2,C4 · 2s,8,0.5,9,11.014727274576822,0.01288701459351511,10.030732896592882,1.3928271333376567,0.5,0,4.0,2.0,0.6352827750217092
c4_l2,C4 · 2s,9,0.55,9,12.330788082546658,0.00790621029833951,11.328054322136772,1.5103199813101027,0.5500093959533574,0,4.0,2.0,0.6931205398543846
c4_l2,C4 · 2s,10,0.6,9,9.190208382076687,0.02861429336998194,8.12910254796346,1.075393471452925,0.6001498457487062,0,4.0,2.0,0.7415314683242821
c4_l2,C4 · 2s,11,0.65,9,9.911962350209555,0.03808271652087566,8.76544295416938,1.2598074873288472,0.6498501542512938,0,4.0,2.0,0.782422907307201
c4_l2,C4 · 2s,12,0.7,9,7.7744071748521595,0.08718645075956977,6.7091749509175616,1.096105741129981,0.6999906040466426,0,4.0,2.0,0.8313911459465099
c4_l2,C4 · 2s,13,0.75,9,5.629787895414564,0.13951388705107898,4.52235730489095,0.9265274604161581,0.75,0,4.0,2.0,0.848517560980507
c4_l2,C4 · 2s,14,0.8,9,4.578818665610419,0.18778659982813725,3.6196692652172513,0.88357741634051,0.8000093959533573,0,4.0,2.0,0.8996374608264556
c4_l2,C4 · 2s,15,0.85,9,3.518421040640937,0.2909289784729481,2.6672727399402194,0.7846589187781016,0.8501498457487061,0,4.0,2.0,0.9770499844697708
c4_l2,C4 · 2s,16,0.9,9,2.510428958468967,0.3877589288685057,1.8003351820839777,0.6968901753425598,0.8998501542512939,0,4.0,2.0,1.0058377626001314
c4_l2,C4 · 2s,17,0.95,9,0.5542030019892586,0.6630233261320326,0.27868101331922746,0.3912921630673938,0.9499906040466427,0,4.0,2.0,1.050224613873492
c4_l3,C4 · 3s,0,0.1,9,13.437285953097874,0.0,12.002390331692165,1.2720781167348225,0.10014984574870617,0,4.0,3.0,0.3045535951968986
c4_l3,C4 · 3s,1,0.15,9,12.328411420186361,0.0,11.070922162797716,1.3034474319881864,0.14985015425129372,0,4.0,3.0,0.34418630683808726
c4_l3,C4 · 3s,2,0.2,9,12.366471290588379,0.015132501721382134,11.115242534213596,1.4066692855623033,0.19999060404664257,0,4.0,3.0,0.38989000008653457
c4_l3,C4 · 3s,3,0.25,9,11.857412762112087,0.006982527259323323,10.489529185824924,1.2673486140039232,0.25,0,4.0,3.0,0.4332285713490169
c4_l3,C4 · 3s,4,0.3,9,12.038991504245335,0.007236902498536634,10.763921631707085,1.3764245841238234,0.30000939595335735,0,4.0,3.0,0.4631185452894628
c4_l3,C4 · 3s,5,0.35,9,13.356237941318089,0.006919007127483678,12.136759334140354,1.528331332736545,0.3501498457487061,0,4.0,3.0,0.5237487168652422
c4_l3,C4 · 3s,6,0.4,9,11.234894752502441,0.0076821328451236,9.922761917114258,1.368283788363139,0.3998501542512938,0,4.0,3.0,0.5622185159050678
c4_l3,C4 · 3s,7,0.45,9,12.84825807147556,0.00870580929848881,11.863764815860325,1.5695013403892517,0.4499906040466426,0,4.0,3.0,0.5923473623458992
c4_l3,C4 · 3s,8,0.5,9,12.114793406592476,0.00736778219126991,11.01745637257894,1.4345383511649237,0.5,0,4.0,3.0,0.6390752856681571
c4_l3,C4 · 3s,9,0.55,9,11.596675078074137,0.029176106572979,10.679078314039442,1.576077739397685,0.5500093959533574,0,4.0,3.0,0.6916525871993687
c4_l3,C4 · 3s,10,0.6,9,10.79066933525933,0.01942742502109871,9.677517149183485,1.376792311668396,0.6001498457487062,0,4.0,3.0,0.7369369838392028
c4_l3,C4 · 3s,11,0.65,9,8.77804946899414,0.03564061824646258,7.61525641547309,1.159542183081309,0.6498501542512938,0,4.0,3.0,0.794153394164597
c4_l3,C4 · 3s,12,0.7,9,6.563127570682102,0.06831964974602062,5.505804803636339,0.9462192058563232,0.6999906040466426,0,4.0,3.0,0.8265286671464513
c4_l3,C4 · 3s,13,0.75,9,5.620026297039455,0.12403229292896054,4.700006167093913,0.8860192961162991,0.75,0,4.0,3.0,0.8469839918986941
c4_l3,C4 · 3s,14,0.8,9,4.6728532049391,0.2039097108774715,3.811265640788608,0.8240561551517911,0.8000093959533573,0,4.0,3.0,0.9014349770251225
c4_l3,C4 · 3s,15,0.85,9,3.1317580739657083,0.3033548320333163,2.2097418440712824,0.7546697126494514,0.8501498457487061,0,4.0,3.0,0.9684829732855073
c4_l3,C4 · 3s,16,0.9,9,2.892315924167633,0.36285537978013355,2.183375424808926,0.7006726364294688,0.8998501542512939,0,4.0,3.0,1.0376508468217758
c4_l3,C4 · 3s,17,0.95,9,1.9069667160511017,0.4911728832456801,1.3291302124659221,0.5800381269719865,0.9499906040466427,0,4.0,3.0,1.0475708889465278
c4_l4,C4 · 4s,0,0.1,9,13.538406583997938,0.0042735044327047115,12.171808984544542,1.3538656499650743,0.10014984574870617,0,4.0,4.0,0.3062788967670189
c4_l4,C4 · 4s,1,0.15,9,12.791436937120226,0.010989011161857179,11.562790870666504,1.515043020248413,0.14985015425129372,0,4.0,4.0,0.34596782528631365
c4_l4,C4 · 4s,2,0.2,9,12.020061175028482,0.007236902498536634,10.824014557732475,1.3642883830600314,0.19999060404664257,0,4.0,4.0,0.3885692011464809
c4_l4,C4 · 4s,3,0.25,9,11.438639852735731,0.008521423985560734,10.26428090201484,1.5558452473746405,0.25,0,4.0,4.0,0.4333961480375115
c4_l4,C4 · 4s,4,0.3,9,12.37576993306478,0.006616840035551111,11.213452021280924,1.4654378361172147,0.30000939595335735,0,4.0,4.0,0.4796777699708295
c4_l4,C4 · 4s,5,0.35,9,12.857604556613499,0.013074888537327444,11.566664271884495,1.5387546883689032,0.3501498457487061,0,4.0,4.0,0.5232013252967107
