model,shape,family,target,predictor_margin,calibration_cases,calibration_grid_feasible_rate,unstructured_fraction_mean,minimum_structured_fraction_mean
smol360,960x2560,diag,0.8,0.2385416666666667,18,1.0,0.32621527777777776,0.47777777777777775
smol360,960x2560,diag,0.85,0.20520833333333344,18,1.0,0.4238425925925926,0.5666666666666667
smol360,960x2560,diag,0.9,0.14479166666666665,18,1.0,0.5349537037037037,0.6527777777777778
smol360,960x2560,diag,0.925,0.13541666666666663,18,1.0,0.5964120370370369,0.6972222222222223
smol360,960x2560,diag,0.95,0.12812499999999993,18,1.0,0.6628472222222223,0.7611111111111111
smol360,960x2560,diag,0.975,0.10104166666666659,18,0.6666666666666666,0.7371527777777778,0.8027777777777777
smol360,960x2560,raw,0.5,0.12604166666666672,18,1.0,0.35694444444444445,0.46111111111111114
smol360,960x2560,raw,0.55,0.11875000000000002,18,1.0,0.4126157407407407,0.5166666666666667
smol360,960x2560,raw,0.6,0.10937500000000006,18,1.0,0.46956018518518516,0.5666666666666668
smol360,960x2560,raw,0.65,0.1010416666666667,18,1.0,0.5280092592592592,0.6166666666666667
smol360,960x2560,raw,0.7,0.09583333333333333,18,1.0,0.587962962962963,0.6666666666666666
smol360,960x2560,raw,0.75,0.08854166666666663,18,1.0,0.6498842592592592,0.7166666666666666
smol360,960x2560,raw,0.8,0.09270833333333339,18,1.0,0.7133101851851852,0.7777777777777778
smol360,960x2560,raw,0.85,0.08124999999999993,18,1.0,0.7789351851851852,0.85
smol360,960x2560,raw,0.9,0.060416666666666674,18,1.0,0.846875,0.8999999999999999
smol360,960x2560,raw,0.925,0.07291666666666663,18,1.0,0.8821759259259259,0.9499999999999998
smol360,960x2560,raw,0.95,0.03437499999999993,18,1.0,0.9185185185185184,0.9499999999999998
smol360,960x2560,raw,0.975,0.0,18,0.0,0.9564814814814816,0.9499999999999998
smol360,960x320,bound,0.5,0.3833333333333334,18,1.0,0.27818287037037037,0.47777777777777775
smol360,960x320,bound,0.55,0.4270833333333334,18,1.0,0.32164351851851847,0.5361111111111111
smol360,960x320,bound,0.6,0.5197916666666668,18,1.0,0.3668402777777777,0.5944444444444444
smol360,960x320,bound,0.65,0.5114583333333335,18,1.0,0.41412037037037036,0.6333333333333333
smol360,960x320,bound,0.7,0.546875,18,1.0,0.46377314814814813,0.6861111111111111
smol360,960x320,bound,0.75,0.56875,18,1.0,0.5175925925925926,0.7333333333333333
smol360,960x320,bound,0.8,0.5718749999999999,18,1.0,0.5764467592592593,0.7833333333333334
smol360,960x320,bound,0.85,0.5906250000000001,18,1.0,0.642824074074074,0.836111111111111
smol360,960x320,bound,0.9,0.54375,18,1.0,0.7174768518518518,0.8972222222222221
smol360,960x320,bound,0.925,0.525,18,1.0,0.7595486111111112,0.9416666666666667
smol360,960x320,bound,0.95,0.4822916666666667,18,0.8333333333333334,0.8073495370370369,0.9499999999999998
smol360,960x320,bound,0.975,0.3531249999999999,18,0.0,0.8653935185185185,0.9499999999999998
smol360,960x320,diag,0.5,0.4947916666666667,18,1.0,0.09317129629629627,0.37222222222222223
smol360,960x320,diag,0.55,0.4947916666666667,18,1.0,0.11105324074074072,0.4194444444444445
smol360,960x320,diag,0.6,0.4947916666666667,18,1.0,0.13020833333333331,0.47500000000000003
smol360,960x320,diag,0.65,0.59375,18,1.0,0.15121527777777774,0.5111111111111111
smol360,960x320,diag,0.7,0.5916666666666667,18,1.0,0.17569444444444443,0.5416666666666666
smol360,960x320,diag,0.75,0.628125,18,1.0,0.2091435185185185,0.6111111111111112
smol360,960x320,diag,0.8,0.6656249999999999,18,1.0,0.2636574074074074,0.6638888888888889
smol360,960x320,diag,0.85,0.728125,18,1.0,0.3412037037037037,0.7472222222222222
smol360,960x320,diag,0.9,0.8145833333333333,18,0.8888888888888888,0.4436921296296296,0.8555555555555556
smol360,960x320,diag,0.925,0.740625,18,0.8333333333333334,0.5059027777777777,0.8916666666666667
smol360,960x320,diag,0.95,0.7322916666666667,18,0.8333333333333334,0.5777199074074074,0.9083333333333332
smol360,960x320,diag,0.975,0.921875,18,0.3333333333333333,0.6646412037037037,0.9499999999999998
smol360,960x320,raw,0.5,0.3364583333333334,18,1.0,0.2546296296296296,0.4666666666666667
smol360,960x320,raw,0.55,0.3916666666666667,18,1.0,0.3039351851851852,0.5277777777777778
smol360,960x320,raw,0.6,0.40625000000000006,18,1.0,0.35787037037037034,0.5833333333333334
smol360,960x320,raw,0.65,0.40208333333333335,18,1.0,0.41562499999999997,0.6333333333333333
smol360,960x320,raw,0.7,0.38958333333333334,18,1.0,0.4765046296296296,0.6833333333333332
smol360,960x320,raw,0.75,0.36979166666666663,18,1.0,0.5413194444444445,0.7333333333333333
smol360,960x320,raw,0.8,0.34375,18,1.0,0.609375,0.7833333333333334
smol360,960x320,raw,0.85,0.30625,18,1.0,0.6820601851851852,0.8333333333333334
smol360,960x320,raw,0.9,0.30729166666666674,18,1.0,0.7605324074074074,0.9055555555555556
