trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,top_fixed_importance,top_fixed_rows,top_fixed_chunks,top_fixed_aff_ms,top_fixed_runtime_ms,top_fixed_importance_gain_pct
0,4.55,random,0.75,3648,0.9125004541801982,3648,50,1.4426087447986464,13.226893,0.9953801650703061,3648,933,11.156390918711086,0.04282,9.082703522001868
0,4.55,random,0.875,4256,0.9686510669294104,4254,60,1.700889000741506,15.368225,0.9989656734681254,4256,537,6.9488008786479725,0.054241,3.129569312798175
0,4.55,local,0.125,608,0.6745083679769788,606,14,0.3022837991995413,4.967421,0.7720632912252294,608,125,1.5238714691196513,0.030747,14.463115341451216
0,4.55,local,0.25,1216,0.8266538273653494,1212,24,0.5605640551424012,8.008804,0.8935733892200524,1216,208,2.5857057340441467,0.030437,8.095234019297305
0,4.55,local,0.375,1824,0.8979123548561097,1824,31,0.7873096872843455,8.119581,0.9458178694474064,1824,247,3.163501023145146,0.028994,5.335210539448876
0,4.55,local,0.5,2432,0.9427227874524393,2430,36,0.9905855141563533,9.492607,0.9728916159232381,2432,214,2.949232533625879,0.029064,3.200180251537721
0,4.55,local,0.625,3040,0.9669142815179148,3036,38,1.1608586835858503,11.811269,0.9876705474584746,3040,227,3.2410047915584475,0.031569,2.146650053402399
0,4.55,local,0.75,3648,0.9848993363425256,3648,46,1.3986052015419648,13.738038,0.9953801650703062,3648,189,2.9717318729683284,0.034485,1.0641522784147428
0,4.55,local,0.875,4256,0.9918872061152,4254,44,1.5248748277147801,13.366314,0.9989656734681254,4256,131,2.4824412380948013,0.027952,0.7136363196626583
0,4.55,hot-cold,0.125,608,0.5332025212566553,606,9,0.24727937012868945,4.567714,0.7720632912252294,608,401,4.560115953830675,0.031839,44.79738194141043
0,4.55,hot-cold,0.25,1216,0.7600723683413808,1212,16,0.4725569686290382,6.696812,0.8935733892200524,1216,589,6.777043229243059,0.039684,17.564251305437615
0,4.55,hot-cold,0.375,1824,0.8760194193111781,1824,21,0.6773008291426417,6.793343,0.9458178694474064,1824,703,8.179904954406837,0.036348,7.967682975693791
0,4.55,hot-cold,0.5,2432,0.9366625915752576,2430,23,0.8475739985721384,9.563749,0.972891615923238,2432,681,8.086646208843444,0.046717,3.867884195850224
0,4.55,hot-cold,0.625,3040,0.9626307175214392,3036,28,1.0508498254441465,9.968555,0.9876705474584746,3040,680,8.224406065377627,0.035286,2.601187504332647
0,4.55,hot-cold,0.75,3648,0.9798042556346478,3648,33,1.2555936859577501,11.95141,0.9953801650703062,3648,585,7.328082655379796,0.035837,1.5896960383754877
0,4.55,hot-cold,0.875,4256,0.9893467450558279,4254,37,1.4478686270155876,13.804183,0.9989656734681254,4256,409,5.540687494434165,0.042319,0.9722504733923998
0,9.19,random,0.125,608,0.6588998315961739,606,23,0.4012917715270746,4.532899,0.9518779858084678,608,531,5.990231109672823,0.045384,44.46474868608772
0,9.19,random,0.25,1216,0.7937659252811533,1212,35,0.6815737990982753,7.489784,0.9833808424521788,1216,909,10.297326689777579,0.042058,23.888014228358756
0,9.19,random,0.375,1824,0.8752485316754954,1824,47,0.9633238603110714,9.284928,0.9937578487776865,1824,1152,13.119302684969334,0.051607,13.540076082770192
0,9.19,random,0.5,2432,0.9188064277940065,2430,54,1.1886014588114202,11.820045,0.9975819200809675,2432,1243,14.269144036407193,0.052558,8.573676663984141
0,9.19,random,0.625,3040,0.9523758460316362,3036,63,1.4358808289401095,12.161903,0.9991593329931123,3040,1164,13.548834799436088,0.04273,4.912292469030355
0,9.19,random,0.75,3648,0.9776280200296802,3648,66,1.6186229178253724,15.23741,0.9997710161970977,3648,922,11.035381174755212,0.043732,2.2649715140882876
0,9.19,random,0.875,4256,0.9923624710015788,4254,71,1.8218987446973802,15.902202,0.9999658503303708,4256,525,6.816790248877928,0.04271,0.7661897291538988
0,9.19,local,0.125,608,0.9179264328736306,606,22,0.39029088571290427,5.198864,0.9518779858084678,608,134,1.6228794414471845,0.024526,3.698722655643505
0,9.19,local,0.25,1216,0.9585221226686654,1212,32,0.6485711416557641,9.31795,0.9833808424521788,1216,211,2.618708391486658,0.049503,2.5934424668575318
0,9.19,local,0.375,1824,0.9802620056629312,1824,39,0.8753167737977084,9.006287,0.9937578487776864,1824,248,3.1745019089593165,0.036929,1.3767587682466775
0,9.19,local,0.5,2432,0.9904498996667392,2430,45,1.0895934864838868,11.837377,0.9975819200809676,2432,268,3.5432803675910787,0.031659,0.7200788668491054
0,9.19,local,0.625,3040,0.9951745192394179,3036,51,1.3038701991700652,13.271166,0.9991593329931123,3040,237,3.3510136497001515,0.034715,0.4004135633155048
0,9.19,local,0.75,3648,0.9968804228302793,3648,52,1.4646105164269871,14.368176,0.9997710161970979,3648,213,3.2357531325084175,0.034384,0.2899639014488642
0,9.19,local,0.875,4256,0.997474922109996,4254,47,1.5578774851572912,14.629093,0.9999658503303708,4256,138,2.5594474387939936,0.036037,0.24972339305588953
0,9.19,hot-cold,0.125,608,0.7866845761528543,606,12,0.2802820275712006,4.428605,0.9518779858084678,608,382,4.351099123361437,0.041898,20.99868418209794
0,9.19,hot-cold,0.25,1216,0.9172902263634517,1212,17,0.48355785444320853,6.736026,0.9833808424521788,1216,552,6.370010454118756,0.032661,7.204984223013011
0,9.19,hot-cold,0.375,1824,0.9697115068282665,1824,24,0.7103034865851529,7.835139,0.9937578487776864,1824,661,7.71786775021168,0.033062,2.479741838690841
0,9.19,hot-cold,0.5,2432,0.9835881428315618,2430,31,0.9355810850855015,9.738576,0.9975819200809675,2432,704,8.339666582569361,0.032942,1.4227273225478454
0,9.19,hot-cold,0.625,3040,0.988853513312243,3036,35,1.127856026143339,11.150304,0.9991593329931124,3040,686,8.29041138026265,0.043221,1.042198823397933
0,9.19,hot-cold,0.75,3648,0.9911558035638157,3648,43,1.365602544099454,13.259354,0.999771016197098,3648,597,7.46009328514984,0.041738,0.8692087159561934
0,9.19,hot-cold,0.875,4256,0.9921348065335286,4254,48,1.5688783709714618,14.553172,0.9999658503303708,4256,402,5.463681293734973,0.038191,0.7893124750056435
