trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,pareto_peak_states
6,1.44,hot-cold,1.44,0.2810012801299247,0.7855724692901567,294
6,2.48,random,2.4800000000000004,-0.07890686345301104,0.4248394094085637,172
6,2.48,local,2.480000000000001,0.6257503092514499,0.24179451391372822,170
6,2.48,hot-cold,2.480000000000001,0.11272168730755312,0.8987271245377407,208
6,3.3,random,3.2999999999999994,-0.037314544679915136,0.352728150314493,186
6,3.3,local,3.299999999999999,0.3558670839753047,0.12262871695871208,163
6,3.3,hot-cold,3.299999999999999,0.08654976041681882,0.9104044047904067,212
6,4.55,random,4.55,-0.0226617216023744,0.5102528216076112,176
6,4.55,local,4.550000000000002,0.3113850307524746,0.8381954689242221,189
6,4.55,hot-cold,4.550000000000002,0.027939982745373213,0.9271624422766659,199
6,9.19,random,9.190000000000003,-0.01096396803813155,0.7933479196391329,51
6,9.19,local,9.190000000000001,0.020865345519573614,0.6242834696771445,84
6,9.19,hot-cold,9.190000000000003,0.003429946979747823,0.9974750869822062,46
7,1.07,random,1.07,0.0603466648471186,0.45944337467255025,294
7,1.07,local,1.07,0.7463473074077058,0.6491886475871406,314
7,1.07,hot-cold,1.0700000000000003,0.21439361132547483,0.7433481796874055,326
7,1.25,random,1.25,-0.048648745521500225,0.5166580439376882,256
7,1.25,local,1.25,0.8701748333292205,0.6149054453422167,262
7,1.25,hot-cold,1.25,0.31550045302135815,0.8089436077316118,289
7,1.44,random,1.4400000000000004,0.13949740003303798,0.5843843718265693,257
7,1.44,local,1.4400000000000002,0.9068191131186442,0.29903494078598064,234
7,1.44,hot-cold,1.44,0.4452849621509675,0.8440780421188978,268
7,2.48,random,2.4800000000000004,0.10662416519868619,0.45152174622581287,213
7,2.48,local,2.4800000000000004,0.43510738468769655,0.4969435111259983,202
7,2.48,hot-cold,2.48,0.12453580947490592,0.8989737399014595,255
7,3.3,random,3.3000000000000007,-0.031955519666849556,0.492205100161359,182
7,3.3,local,3.300000000000001,0.3341946509381396,0.7949062972788069,161
7,3.3,hot-cold,3.3000000000000003,0.0679044383541176,0.9294189091626688,216
7,4.55,random,4.550000000000002,-0.007315570268328677,0.6401549912994927,196
7,4.55,local,4.550000000000002,0.19386467823020723,0.23821262719021166,177
