model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
qwen05,test_medium_code,5,0.35,shifted8_x2,Shifted-8 X²,importance_bound,True,0.5909363528092703,0.5200736093379202,21.0,7.653879002511323,0.36447042869101537,12.010608397424221,0.5719337332106772,0.514369737506578,0.3952641089330469
qwen05,test_medium_code,5,0.35,shifted8_x2,Shifted-8 X²,error_oracle,True,0.5909363528092703,0.5200736093379202,21.0,7.59537600773257,0.36168457179678903,10.750866362825036,0.5119460172773826,0.5119460172773826,0.3666714218582169
qwen05,test_medium_code,5,0.35,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.5909363528092703,0.5200736093379202,21.0,7.791889005552649,0.3710423335977452,12.240237943828106,0.5828684735156241,0.52830030118847,0.383359347028285
qwen05,test_medium_code,5,0.35,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.5909363528092703,0.5200736093379202,21.0,7.766524502336024,0.36983450011123925,10.73495621420443,0.511188391152592,0.511188391152592,0.36438613274257065
qwen05,test_medium_code,6,0.4,paper,Paper |x|,importance_bound,True,0.5298912227153778,0.4815144535774986,21.0,10.216906503602921,0.4865193573144248,10.911667786538601,0.5196032279304096,0.4757042538064222,0.4273294844253491
qwen05,test_medium_code,6,0.4,paper,Paper |x|,error_oracle,True,0.5298912227153778,0.4815144535774986,21.0,10.207111501668631,0.48605292865088723,9.844562292098999,0.4687886805761428,0.4687886805761428,0.3822614572144647
qwen05,test_medium_code,6,0.4,cell1_x2,Cell-1 X²,importance_bound,True,0.5298912227153778,0.4815144535774986,21.0,6.980333502244353,0.33239683344020726,10.660716712474823,0.5076531767845154,0.4783082614774771,0.46202839688506986
qwen05,test_medium_code,6,0.4,cell1_x2,Cell-1 X²,error_oracle,True,0.5298912227153778,0.4815144535774986,21.0,6.9588955012100335,0.33137597624809684,9.810634629800916,0.4671730776095674,0.4671730776095674,0.41440934926602224
qwen05,test_medium_code,6,0.4,shifted8_x2,Shifted-8 X²,importance_bound,True,0.5298912227153778,0.4815144535774986,21.0,7.931636004490912,0.37769695259480535,10.843064196407795,0.5163363903051331,0.4907626802977618,0.4547879184568564
qwen05,test_medium_code,6,0.4,shifted8_x2,Shifted-8 X²,error_oracle,True,0.5298912227153778,0.4815144535774986,21.0,7.9537050073785185,0.3787478574942152,9.790737817063928,0.4662256103363775,0.4662256103363775,0.42380364974937335
qwen05,test_medium_code,6,0.4,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.5298912227153778,0.4815144535774986,21.0,8.22068200211829,0.3914610477199186,10.427825577557087,0.49656312274081366,0.47269543106778567,0.47147584362692435
qwen05,test_medium_code,6,0.4,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.5298912227153778,0.4815144535774986,21.0,8.185207003607928,0.389771762076568,9.61336594633758,0.45777933077798005,0.45777933077798005,0.4285868130146795
qwen05,test_medium_code,7,0.45,paper,Paper |x|,importance_bound,True,0.4837465839726584,0.45078992125179085,21.0,10.443823003690898,0.49732490493766185,9.808064304292202,0.4670506811567715,0.4466925082683918,0.4826015932688865
qwen05,test_medium_code,7,0.45,paper,Paper |x|,error_oracle,True,0.4837465839726584,0.45078992125179085,21.0,10.309877503945232,0.4909465478069158,9.447557985782623,0.44988371360869633,0.44988371360869633,0.401234671500179
