trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,exact_build_ms
3,1.44,local,1.44,0.6175499105705359,0.3812815114892281,29.719606
3,1.44,hot-cold,1.44,0.3317436721780171,0.8237104357476165,29.576139
3,2.48,random,2.48,-0.03968695201597771,0.5386183475665318,29.485649
3,2.48,local,2.4800000000000004,0.73598437833434,0.37965318152925576,29.889003
3,2.48,hot-cold,2.4800000000000004,0.1523467635035212,0.915782328184131,29.430997
3,3.3,random,3.3000000000000007,-0.035158749535905975,0.5403779722987616,29.584464
3,3.3,local,3.3000000000000007,0.504994195141088,0.7865101471524405,29.582781
3,3.3,hot-cold,3.3000000000000007,0.1342179670668444,0.9466120104002723,29.367229
3,4.55,random,4.55,-0.015388842171163252,0.46583901558454865,29.408536
3,4.55,local,4.55,0.3959598194193294,0.8644774085047937,29.486111
3,4.55,hot-cold,4.549999999999999,0.07236724996053015,0.9602547939247577,29.451315
3,9.19,random,9.19,-0.011877618099235033,0.3956769362418988,29.633265
3,9.19,local,9.189999999999998,0.24719051910645942,0.0824056895749112,29.22398
3,9.19,hot-cold,9.189999999999996,0.011005873534478612,0.9999994711979256,29.439374
4,1.07,random,1.07,0.06565317880170866,0.47670544990901803,29.557174
4,1.07,local,1.07,0.8517628376179958,0.2826087735532941,29.309961
4,1.07,hot-cold,1.0700000000000003,0.4422366655087363,0.7908647044688069,29.743601
4,1.25,random,1.2500000000000002,0.07934366256435206,0.523506705015715,30.740894
4,1.25,local,1.2500000000000002,0.8202739505393343,0.4385344123748617,30.298579
4,1.25,hot-cold,1.2500000000000002,0.3862395325207357,0.799981191655144,29.652913
4,1.44,random,1.4400000000000002,-0.029554973584757803,0.5334407554141387,29.984742
4,1.44,local,1.4400000000000002,0.6719121883265359,0.5846265918233993,30.879954
4,1.44,hot-cold,1.4400000000000002,0.22469443283059912,0.7856808146663314,31.07565
4,2.48,random,2.4799999999999995,-0.03941742104951765,0.4722337802932065,30.230912
4,2.48,local,2.4799999999999995,0.9221188285696363,0.42739696818917733,29.7481
4,2.48,hot-cold,2.4799999999999995,0.29579429019581416,0.9437629197556463,29.727552
4,3.3,random,3.3000000000000016,0.05864458309957753,0.4180169946000325,29.445195
4,3.3,local,3.300000000000001,0.24424264084317734,0.9076154186076916,29.478306
4,3.3,hot-cold,3.3000000000000007,0.05358631593186985,0.9055688968105939,29.46961
4,4.55,random,4.55,-0.015318335541193644,0.6393428512027091,31.005119
4,4.55,local,4.55,0.26030259011903656,0.7978057396415184,29.318347
4,4.55,hot-cold,4.549999999999999,0.08082797521782659,0.9378244350222946,29.366978
4,9.19,random,9.19,-0.007821445340054484,0.8778827568591879,29.532217
4,9.19,local,9.19,0.059810136049408255,0.29718929755399504,29.514875
4,9.19,hot-cold,9.189999999999998,-0.006555389564230231,0.9883570178024947,29.294723
5,1.07,random,1.07,0.07788887243836524,0.5131357018122491,29.370986
5,1.07,local,1.0700000000000003,0.8565566827662625,0.6564106969025267,30.653041
5,1.07,hot-cold,1.0700000000000003,0.3703553182132421,0.7610496194414191,29.434514
5,1.25,random,1.2500000000000002,0.09366725988620196,0.4509364732683795,29.403516
5,1.25,local,1.2500000000000002,0.8498373213306215,0.529390624955635,29.293391
5,1.25,hot-cold,1.2500000000000002,0.23860994742136638,0.7800589816672854,29.321072
5,1.44,random,1.4400000000000002,-0.08087065092388925,0.5270780523530948,29.577422
5,1.44,local,1.4400000000000002,0.802083205755687,0.7862363786504306,29.281478
5,1.44,hot-cold,1.44,0.33511901018588175,0.839323359426533,29.297568
5,2.48,random,2.48,0.059866931709735505,0.424866035944956,29.326513
5,2.48,local,2.4799999999999995,0.800854751356323,0.21465881353455993,29.355306
5,2.48,hot-cold,2.48,0.25722360925021837,0.882825274221077,32.278317
5,3.3,random,3.3000000000000007,0.009065431743935985,0.4337830596110394,29.47502
5,3.3,local,3.3000000000000003,0.7697849197293067,0.7989043365148925,29.517859
5,3.3,hot-cold,3.2999999999999994,0.07602924417106263,0.9242948087472487,29.455663
5,4.55,random,4.549999999999999,0.011659899574027114,0.31398285157996597,29.242876
5,4.55,local,4.549999999999999,0.23440335836678636,0.10393918103481231,30.538817
5,4.55,hot-cold,4.549999999999999,0.061526347547312586,0.9592237460124491,29.455854
5,9.19,random,9.189999999999998,-0.011783499301750508,0.9143112371987833,29.43225
5,9.19,local,9.19,0.036452158779311856,0.9971391436638616,29.272281
