model,prompt,situation,method,method_label,budget_index,budget_fraction,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,fallback_calls
qwen05,test_short_korean,short,cell32,Cell-32,6,0.4,1.5202873945236206,0.5945562720298767,12.609291076660156,0.018518518656492233,4.304563045501709,14.945771217346191,10.64120864868164,168,0.39962909505907634,0
qwen05,test_short_korean,short,cell32,Cell-32,7,0.45,1.971045970916748,0.5797088742256165,18.907011032104492,0.0555555559694767,4.304563045501709,20.596527099609375,16.291963577270508,168,0.4498145475295381,0
qwen05,test_short_korean,short,cell32,Cell-32,8,0.5,1.5882728099822998,0.5822054743766785,16.04949951171875,0.018518518656492233,4.304563045501709,18.31147575378418,14.006912231445312,168,0.5,0
qwen05,test_short_korean,short,cell32,Cell-32,9,0.55,1.2349789142608643,0.6596014499664307,12.603171348571777,0.0,4.304563045501709,15.379572868347168,11.075010299682617,168,0.550185452470462,0
qwen05,test_short_korean,short,cell32,Cell-32,10,0.6,1.269135594367981,0.600694477558136,14.565844535827637,0.0555555559694767,4.304563045501709,16.733673095703125,12.429109573364258,168,0.6003709049409238,0
qwen05,test_short_korean,short,cell32,Cell-32,11,0.65,1.0999394655227661,0.6525024771690369,9.871476173400879,0.0,4.304563045501709,12.332992553710938,8.02842903137207,168,0.6496290950590762,0
qwen05,test_short_korean,short,cell32,Cell-32,12,0.7,1.1495758295059204,0.7802340984344482,12.08358097076416,0.018518518656492233,4.304563045501709,14.663294792175293,10.358732223510742,168,0.6998145475295381,0
qwen05,test_short_korean,short,cell32,Cell-32,13,0.75,1.1564719676971436,0.6285091638565063,10.961637496948242,0.0,4.304563045501709,13.307356834411621,9.00279426574707,168,0.75,0
qwen05,test_short_korean,short,cell32,Cell-32,14,0.8,1.0014009475708008,0.5522886514663696,7.146678924560547,0.0555555559694767,4.304563045501709,9.532795906066895,5.2282328605651855,168,0.8001854524704617,0
qwen05,test_short_korean,short,cell32,Cell-32,15,0.85,0.9833158850669861,0.6020255088806152,6.833972930908203,0.018518518656492233,4.304563045501709,9.296299934387207,4.991736888885498,168,0.8503709049409238,0
qwen05,test_short_korean,short,cell32,Cell-32,16,0.9,0.5938676595687866,0.1867067813873291,2.0476014614105225,0.4444444477558136,4.304563045501709,5.446357727050781,1.1417946815490723,168,0.8996290950590762,0
