n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
256,2,local,3.3,supported,0.7999999999999999,0.855436830652362,0.04185670226876747,81,2
256,2,local,3.3,supported,0.85,0.855436830652362,0.04185670226876747,81,2
256,2,local,3.3,supported,0.9,0.9139019938819501,0.047496650417338804,146,1
256,2,local,3.3,supported,0.95,0.9507158628342178,0.053027082315248115,163,1
256,2,local,3.3,supported,0.99,0.9914021302036489,0.06994369753238248,215,1
256,2,local,3.3,paper,0.05,0.40294422415155123,0.013998464069407138,12,1
256,2,local,3.3,paper,0.1,0.6065239476023346,0.027996928138814277,24,2
256,2,local,3.3,paper,0.15,0.7100286735488925,0.04199539220822142,36,3
256,2,local,3.3,paper,0.2,0.7369852933002989,0.04491323939347472,48,3
256,2,local,3.3,paper,0.25,0.7651888999115938,0.04783108657872802,60,3
256,2,local,3.3,paper,0.3,0.8267749030180476,0.06182955064813516,72,4
256,2,local,3.3,paper,0.35,0.8578514741423933,0.06620632142601511,90,4
256,2,local,3.3,paper,0.39999999999999997,0.9036118759149622,0.06912416861126841,102,4
256,2,local,3.3,paper,0.44999999999999996,0.9363194108875976,0.08312263268067555,114,5
256,2,local,3.3,paper,0.49999999999999994,0.9501127419244934,0.0971210967500827,126,6
256,2,local,3.3,paper,0.5499999999999999,0.9559435308512354,0.11111956081948983,138,7
256,2,local,3.3,paper,0.6,0.957564207839574,0.1029567911205893,150,6
256,2,local,3.3,paper,0.65,0.961736235223429,0.09479402142168877,162,5
256,2,local,3.3,paper,0.7,0.9679244315168363,0.10879248549109591,174,6
256,2,local,3.3,paper,0.75,0.9722897242585496,0.10208863938482203,192,5
256,2,local,3.3,paper,0.7999999999999999,0.9766044212313445,0.11608710345422917,204,6
256,2,local,3.3,paper,0.85,0.9787678791305237,0.11900495063948247,216,6
256,2,local,3.3,paper,0.9,0.9801345655701871,0.12192279782473578,228,6
256,2,local,3.3,paper,0.95,0.9801345655701871,0.12192279782473578,228,6
256,2,hot-cold,3.3,supported,0.05,0.5386299318782787,0.01788892698307821,28,1
256,2,hot-cold,3.3,supported,0.1,0.5386299318782787,0.01788892698307821,28,1
256,2,hot-cold,3.3,supported,0.15,0.5386299318782787,0.01788892698307821,28,1
256,2,hot-cold,3.3,supported,0.2,0.5386299318782787,0.01788892698307821,28,1
256,2,hot-cold,3.3,supported,0.25,0.5386299318782787,0.01788892698307821,28,1
256,2,hot-cold,3.3,supported,0.3,0.5386299318782787,0.01788892698307821,28,1
256,2,hot-cold,3.3,supported,0.35,0.5386299318782787,0.01788892698307821,28,1
256,2,hot-cold,3.3,supported,0.39999999999999997,0.5386299318782787,0.01788892698307821,28,1
