scope,n,spatial_mode,target_cv,budget_fraction,cases,affine_latency_ratio_mean,affine_latency_ratio_median,affine_saving_pct_mean,lookup_latency_ratio_mean,lookup_saving_pct_mean,affine_strict_win_rate,lookup_strict_win_rate,paper_chunks_mean,refined_chunks_mean,refined_row_ratio_mean,post_runtime_ms_mean,total_runtime_ms_mean
N-ordering-CV-budget,4864,hot-cold,3.3,0.5,20,0.7238330111704686,0.7221404360289769,27.61669888295314,0.9174005821764769,8.259941782352298,1.0,1.0,21.4,2.25,0.9660288065843623,1.3786017000000002,8.772825649999998
N-ordering-CV-budget,4864,hot-cold,3.3,0.625,20,0.7028305938020887,0.7023873911865265,29.71694061979113,0.9003239536129698,9.967604638703028,1.0,1.0,25.9,1.45,0.9485177865612648,1.89358285,10.797175
N-ordering-CV-budget,4864,hot-cold,3.3,0.75,20,0.6903319945748205,0.6699090685167959,30.966800542517944,0.8779224377732533,12.207756222674679,1.0,1.0,30.15,1.65,0.9230948464912281,2.3273431999999996,12.51535695
N-ordering-CV-budget,4864,hot-cold,3.3,0.875,20,0.6747189193953333,0.6629985666579241,32.52810806046666,0.8524175065249858,14.758249347501433,1.0,1.0,32.85,1.15,0.8928185237423601,2.7701967,14.699074450000001
N-ordering-CV-budget,4864,hot-cold,4.55,0.125,20,0.8161974341296064,0.8128153820646232,18.380256587039348,0.9540551382433746,4.5944861756625475,1.0,0.9,8.15,3.5,1.0494224422442247,0.38719380000000003,3.5171827
N-ordering-CV-budget,4864,hot-cold,4.55,0.25,20,0.7570984202903516,0.7496024753676909,24.29015797096486,0.9442195127276316,5.578048727236847,1.0,0.95,13.35,3.05,1.017079207920792,0.7391274499999999,5.26590915
N-ordering-CV-budget,4864,hot-cold,4.55,0.375,20,0.7264147524430438,0.7267855695738643,27.35852475569564,0.923026529875554,7.697347012444586,1.0,1.0,18.05,2.6,0.9836896929824563,1.0647196499999998,6.5953011
N-ordering-CV-budget,4864,hot-cold,4.55,0.5,20,0.7048283422853279,0.7010592771189701,29.517165771467212,0.8993534484950201,10.064655150497988,1.0,1.0,23.3,2.35,0.9631481481481481,1.41748,9.034662100000002
N-ordering-CV-budget,4864,hot-cold,4.55,0.625,20,0.6888300361622325,0.6776073866528374,31.116996383776733,0.8823828047859648,11.76171952140351,1.0,1.0,27.35,1.75,0.939262187088274,1.8352163000000001,10.96033685
N-ordering-CV-budget,4864,hot-cold,4.55,0.75,20,0.667783760015742,0.6690444963923659,33.22162399842581,0.8498798325315942,15.012016746840576,1.0,1.0,30.95,1.5,0.9010690789473683,2.3717691000000003,12.886273249999999
N-ordering-CV-budget,4864,hot-cold,4.55,0.875,20,0.6368839366719851,0.6421522064057813,36.31160633280148,0.8124147835910834,18.758521640891665,1.0,1.0,35.9,1.35,0.8615303244005641,3.0271807,15.3684417
N-ordering-CV-budget,4864,local,1.07,0.125,20,0.9774390063135765,1.0,2.2560993686423463,0.9929342468185697,0.7065753181430339,0.45,0.35,9.35,8.8,1.0022277227722773,0.33218875,3.41596885
N-ordering-CV-budget,4864,local,1.07,0.25,20,0.9486176163623334,0.9557595572999942,5.138238363766672,0.9849959221137847,1.5004077886215212,0.95,0.85,17.65,15.2,1.0054042904290428,0.668191,5.118984150000001
N-ordering-CV-budget,4864,local,1.07,0.375,20,0.9097580130080534,0.9042947213177988,9.024198699194686,0.9734384266625051,2.6561573337494684,1.0,0.95,24.9,18.55,1.0098958333333334,1.0186324,6.973439600000001
N-ordering-CV-budget,4864,local,1.07,0.5,20,0.8711854928726618,0.8671680809828642,12.881450712733818,0.9719445982310386,2.8055401768961215,1.0,1.0,30.75,18.8,1.0184567901234567,1.44387335,9.3477958
N-ordering-CV-budget,4864,local,1.07,0.625,20,0.8244436793490143,0.8203739721239969,17.555632065098553,0.9603449470701543,3.9655052929845667,1.0,1.0,35.85,16.1,1.0232707509881422,1.9218818499999997,11.85896215
